lam,Kweak_amp_asym,Kweak_plv,Kstrong_amp_asym,Kstrong_plv
0.4,0.05335784265844268,0.26163499333334517,0.04400244047194657,0.9999999721819245
0.5,0.05866211398362298,0.2795171591239482,0.050686772938766556,0.9999999647368227
0.6000000000000001,0.06373898620170382,0.30436588424175665,0.05667313731182311,0.9999999548025272
0.7000000000000001,0.06859672579913256,0.3211610411619641,0.06213797624961648,0.9999999413883556
0.8,0.07325462194006949,0.3173834649497597,0.06719594876991242,0.999999923045405
0.9000000000000001,0.07765171634586776,0.2730505410757274,0.07192619399704403,0.9999998976207268
1.0,0.08160003983249442,0.1949542814861051,0.07638592917979614,0.9999998618614303
1.1,0.08520290874935421,0.16098519947524295,0.08061808334562226,0.9999998107630274
1.2000000000000002,0.08868377368633396,0.18703371402810018,0.08465586680329262,0.9999997364720958
1.3000000000000003,0.09210646445682968,0.22929660997298287,0.08852565499006704,0.9999996263915968
1.4000000000000004,0.09548197876595066,0.2670982636839099,0.09224889375380041,0.9999994598167479
1.5000000000000004,0.09881359032189163,0.29358758165959764,0.09584341320233292,0.9999992017704222
1.6,0.10209844769315324,0.3031344617000062,0.09932437564300223,0.999998791292817
