K,amp_asym,plv,freq_gap,corr,meanA1,meanA2
0.01,0.08034358932555519,0.15771751996073363,0.10970869930283511,0.1107907365354643,1.0349023996995945,0.9545588103740393
0.02,0.0806797039383933,0.1587941592341251,0.1072256236371959,0.11066708810738511,1.030479197365205,0.9497994934268117
0.03,0.08160003983249442,0.1949542814861051,0.10063188436356063,-0.03442154392432924,1.0240409829443502,0.9424409431118558
0.04,0.08178071626019223,0.38449423140146055,0.08122239264527464,0.03808403028520247,1.0202329257689886,0.9384522095087964
0.05,0.08226822445664306,0.6802240328851835,0.043770990954463795,0.014495703103297097,1.0150563493678997,0.9327881249112566
0.060000000000000005,0.07960994879838001,0.9998554137459247,0.0005056117979228558,0.38781175245790206,1.020642899450378,0.941032950651998
0.06999999999999999,0.07769516259846165,0.9999969921411366,9.009780022295466e-05,0.6146908066673098,1.024646255361044,0.9469510927625824
0.08,0.07638592917979614,0.9999998618614303,2.1905129502508558e-05,0.72604644633588,1.0265664771335765,0.9501805479537804
0.09,0.07530729533206337,0.9999999913273454,6.015084267452231e-06,0.793120539842599,1.0277145345720216,0.9524072392399582
0.09999999999999999,0.0743545682000174,0.999999999351032,1.7698315775138695e-06,0.8375531123959095,1.0284598763889656,0.9541053081889482
0.11,0.07348279940475377,0.9999999999455956,5.447080281273387e-07,0.8687952378626757,1.0289615337070939,0.9554787343023401
0.12,0.07266851567833155,0.999999999995061,1.7303305621663156e-07,0.8917104213278088,1.0293023850324337,0.9566338693541021
